year,actual,forecasting,Max,Min
2015,97,null,null,null
2016,97,null,null,null
2017,97,null,null,null
2018,109.1544,null,null,null
2019,104.7045,null,null,null
2020,96.75698,null,null,null
2021,44.31548,null,null,null
2022,103.9626,null,null,null
2023,95.50455,95.504545,95.504545,95.504545
2024,null,81.806191,46.59,117.02
2025,null,80.125232,44.91,115.34
2026,null,78.444273,43.23,113.66
2027,null,76.763314,41.55,111.98
2028,null,75.082356,39.87,110.3
2029,null,73.401397,38.19,108.62
2030,null,71.720438,36.5,106.94
2031,null,70.039479,34.82,105.26
2032,null,68.35852,33.14,103.58
