tahun,provinsi,kota/kabupaten,luas wilayah (km2),luas wilayah rth (km2),%rth(b/a)
2020,DKI Jakarta,Kota Adm. Jakarta Utara,140.00,337.36,2.41
2020,DKI Jakarta,Kota Adm. Jakarta Barat,124.40,0.05,0.04
2020,DKI Jakarta,Kab. Adm. Kep. Seribu,8.70,0.12,1.33
2020,DKI Jakarta,Kota Adm. Jakarta Selatan,154.30,0.00,0.00
2020,DKI Jakarta,Kota Adm. Jakarta Pusat,48.13,0.83,1.73
2020,DKI Jakarta,Kota Adm. Jakarta Timur,182.70,350.68,1.92
2021,DKI Jakarta,Kota Adm. Jakarta Barat,124.40,0.02,0.02
2021,DKI Jakarta,Kab. Adm. Kep. Seribu,8.70,289.87,33.32
2021,DKI Jakarta,Kota Adm. Jakarta Selatan,141.27,175.30,1.24
2021,DKI Jakarta,Kota Adm. Jakarta Pusat,48.13,0.84,1.74
2021,DKI Jakarta,Kota Adm. Jakarta Timur,182.70,0.12,0.07
2021,DKI Jakarta,Kota Adm. Jakarta Utara,140.00,155.83,1.11
2022,DKI Jakarta,Kota Adm. Jakarta Barat,124.40,0.02,0.02
2022,DKI Jakarta,Kab. Adm. Kep. Seribu,8.70,290.63,33.41
2022,DKI Jakarta,Kota Adm. Jakarta Selatan,141.27,326.88,2.31
2022,DKI Jakarta,Kota Adm. Jakarta Pusat,48.13,0.84,1.74
2022,DKI Jakarta,Kota Adm. Jakarta Timur,182.70,0.01,0.01
2022,DKI Jakarta,Kota Adm. Jakarta Utara,140.00,0.83,0.59
